iter	Passed	Remaining
197	28829	43971
198	29002	43868
199	29051	43576
200	29104	43295
201	29282	43199
202	29353	42945
203	29490	42789
204	29667	42692
205	29842	42591
206	29999	42462
207	30146	42321
208	30221	42078
209	30373	41944
210	30453	41711
211	30607	41579
212	30770	41460
213	30921	41324
214	31072	41189
215	31141	40945
216	31301	40821
217	31482	40724
218	31662	40626
219	31807	40482
220	31967	40357
221	32153	40263
222	32314	40139
223	32452	39986
224	32625	39875
225	32801	39767
226	32968	39649
227	33015	39387
228	33109	39181
229	33263	39048
230	33417	38914
231	33564	38772
232	33732	38654
233	33860	38491
234	34033	38378
235	34200	38258
236	34347	38116
237	34505	37985
238	34667	37858
239	34816	37718
240	34996	37610
241	35183	37509
242	35359	37396
243	35538	37285
244	35721	37179
245	35897	37064
246	36065	36941
247	36226	36811
248	36390	36682
249	36538	36538
250	36688	36396
251	36862	36277
252	37015	36137
253	37201	36029
254	37383	35917
255	37557	35797
256	37686	35633
257	37860	35512
258	38013	35371
259	38192	35254
260	38357	35124
261	38525	34996
262	38692	34867
263	38864	34742
264	39034	34615
265	39228	34509
266	39463	34438
267	39649	34323
268	39836	34208
269	40021	34091
270	40192	33963
271	40353	33826
272	40534	33704
273	40723	33589
274	40938	33495
275	41124	33376
276	41298	33247
277	41489	33131
278	41679	33015
279	41897	32919
280	42078	32794
281	42255	32665
282	42430	32534
283	42563	32372
284	42741	32243
285	42900	32100
286	43061	31958
287	43202	31802
288	43379	31671
289	43563	31546
290	43736	31412
291	43918	31284
292	44112	31164
293	44289	31032
294	44454	30891
295	44618	30750
296	44793	30616
297	44958	30475
298	45128	30337
299	45320	30213
300	45497	30079
301	45678	29948
302	45828	29795
303	46009	29663
304	46178	29523
305	46392	29412
306	46586	29287
307	46741	29137
308	46904	28992
309	47082	28856
310	47246	28712
311	47418	28572
312	47573	28422
313	47720	28267
314	47892	28127
315	48044	27975
316	48204	27827
317	48348	27670
318	48521	27531
319	48667	27375
320	48826	27227
321	48968	27069
322	49170	26945
323	49360	26813
324	49523	26666
325	49694	26523
326	49864	26380
327	50042	26241
328	50208	26096
329	50371	25949
330	50538	25803
331	50683	25647
332	50804	25478
333	50985	25340
334	51157	25197
335	51335	25056
336	51505	24912
337	51660	24760
338	51820	24611
339	51998	24469
340	52192	24336
341	52323	24172
342	52472	24017
343	52631	23867
344	52783	23714
345	52955	23569
346	53130	23426
347	53303	23281
348	53482	23139
349	53648	22992
350	53814	22844
351	53974	22693
352	54151	22550
353	54329	22407
354	54527	22271
355	54715	22132
356	54904	21992
357	55071	21843
358	55244	21697
359	55420	21552
360	55602	21409
361	55762	21257
362	55945	21114
363	56116	20966
364	56292	20820
365	56465	20673
366	56616	20517
367	56772	20364
368	56926	20209
369	57082	20056
370	57261	19910
371	57420	19757
372	57573	19602
373	57754	19457
374	57903	19301
375	58082	19154
376	58267	19010
377	58464	18869
378	58651	18725
379	58867	18589
380	59095	18457
381	59313	18322
382	59492	18173
383	59730	18043
384	59879	17886
385	60037	17731
386	60289	17603
387	60454	17450
388	60640	17303
389	60835	17158
390	61016	17009
391	61228	16869
392	61428	16724
393	61613	16576
394	61784	16423
395	61947	16269
396	62128	16118
397	62348	15978
398	62519	15825
